object_category,schema_name,parent_name,object_name,definition
column,public,fulfillment_providers,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,fulfillment_providers,is_active,21|boolean|pg_catalog|bool|NO|true|NO|
column,public,fulfillment_providers,kitting_fee,13|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,lead_time_days,18|integer|pg_catalog|int4|NO|1|NO|
column,public,fulfillment_providers,name,2|text|pg_catalog|text|NO||NO|
column,public,fulfillment_providers,notes,20|text|pg_catalog|text|YES||NO|
column,public,fulfillment_providers,outbound_fee,15|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,packaging_fee,14|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,picking_fee,12|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,provider_code,3|text|pg_catalog|text|NO||NO|
column,public,fulfillment_providers,receiving_fee,10|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,return_handling_fee,17|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,storage_fee_per_unit,11|numeric|pg_catalog|numeric|NO|0|NO|
column,public,fulfillment_providers,supports_api,8|boolean|pg_catalog|bool|NO|false|NO|
column,public,fulfillment_providers,supports_coupang_growth,7|boolean|pg_catalog|bool|NO|false|NO|
column,public,fulfillment_providers,supports_kitting,6|boolean|pg_catalog|bool|NO|false|NO|
column,public,fulfillment_providers,updated_at,23|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,fulfillment_providers,website_url,4|text|pg_catalog|text|YES||NO|
column,public,inbound_orders,coupang_inbound_reference,9|text|pg_catalog|text|YES||NO|
column,public,inbound_orders,created_at,14|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,inbound_orders,defective_quantity,7|integer|pg_catalog|int4|NO|0|NO|
column,public,inbound_orders,expected_at,10|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,inbound_orders,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,inbound_orders,notes,13|text|pg_catalog|text|YES||NO|
column,public,inbound_orders,planned_quantity,5|integer|pg_catalog|int4|NO|0|NO|
column,public,inbound_orders,project_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,inbound_orders,provider_id,3|bigint|pg_catalog|int8|YES||NO|
column,public,inbound_orders,received_at,11|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,inbound_orders,received_quantity,6|integer|pg_catalog|int4|NO|0|NO|
column,public,inbound_orders,shipped_to_coupang_at,12|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,inbound_orders,status,4|text|pg_catalog|text|NO|'DRAFT'::text|NO|
column,public,inbound_orders,tracking_number,8|text|pg_catalog|text|YES||NO|
column,public,inbound_orders,updated_at,15|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,inventory_balances,available_quantity,5|integer|pg_catalog|int4|NO|0|NO|
column,public,inventory_balances,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,inventory_balances,inbound_quantity,7|integer|pg_catalog|int4|NO|0|NO|
column,public,inventory_balances,product_id,3|bigint|pg_catalog|int8|YES||NO|
column,public,inventory_balances,project_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,inventory_balances,provider_id,4|bigint|pg_catalog|int8|YES||NO|
column,public,inventory_balances,reserved_quantity,6|integer|pg_catalog|int4|NO|0|NO|
column,public,inventory_balances,safety_stock_quantity,8|integer|pg_catalog|int4|NO|0|NO|
column,public,inventory_balances,updated_at,9|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,knowledge_assets,asset_type,2|text|pg_catalog|text|NO|'sop'::text|NO|
column,public,knowledge_assets,content,5|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,knowledge_assets,created_at,11|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,knowledge_assets,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,knowledge_assets,status,6|text|pg_catalog|text|NO|'active'::text|NO|
column,public,knowledge_assets,success_rate,10|numeric|pg_catalog|numeric|NO|0|NO|
column,public,knowledge_assets,summary,4|text|pg_catalog|text|YES||NO|
column,public,knowledge_assets,tags,8|ARRAY|pg_catalog|_text|NO|'{}'::text[]|NO|
column,public,knowledge_assets,title,3|text|pg_catalog|text|NO||NO|
column,public,knowledge_assets,updated_at,12|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,knowledge_assets,usage_count,9|integer|pg_catalog|int4|NO|0|NO|
column,public,knowledge_assets,version,7|text|pg_catalog|text|NO|'1.0'::text|NO|
column,public,listing_draft_revisions,actor,6|text|pg_catalog|text|NO|'system'::text|NO|
column,public,listing_draft_revisions,change_note,5|text|pg_catalog|text|YES||NO|
column,public,listing_draft_revisions,created_at,7|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,listing_draft_revisions,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,listing_draft_revisions,listing_draft_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,listing_draft_revisions,revision,3|integer|pg_catalog|int4|NO||NO|
column,public,listing_draft_revisions,snapshot,4|jsonb|pg_catalog|jsonb|NO||NO|
column,public,listing_drafts,approved_at,25|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,listing_drafts,brand_name,9|text|pg_catalog|text|YES||NO|
column,public,listing_drafts,bundle_recommendation_id,5|bigint|pg_catalog|int8|YES||NO|
column,public,listing_drafts,category_name,10|text|pg_catalog|text|YES||NO|
column,public,listing_drafts,compliance_checklist,20|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,listing_drafts,coupang_payload,21|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,listing_drafts,coupang_title,11|text|pg_catalog|text|NO||NO|
