schema_name,table_name,index_name,definition
public,market_feature_snapshots,market_feature_snapshots_product_time_idx,"CREATE INDEX market_feature_snapshots_product_time_idx ON public.market_feature_snapshots USING btree (market_product_id, calculated_at DESC)"
public,market_feedback_events,market_feedback_events_pkey,CREATE UNIQUE INDEX market_feedback_events_pkey ON public.market_feedback_events USING btree (id)
public,market_feedback_events,market_feedback_events_product_time_idx,"CREATE INDEX market_feedback_events_product_time_idx ON public.market_feedback_events USING btree (market_product_id, event_at DESC)"
public,market_keywords,market_keywords_keyword_key,CREATE UNIQUE INDEX market_keywords_keyword_key ON public.market_keywords USING btree (keyword)
public,market_keywords,market_keywords_pkey,CREATE UNIQUE INDEX market_keywords_pkey ON public.market_keywords USING btree (id)
public,market_model_feedback,market_model_feedback_pkey,CREATE UNIQUE INDEX market_model_feedback_pkey ON public.market_model_feedback USING btree (id)
public,market_product_links,market_product_links_pkey,CREATE UNIQUE INDEX market_product_links_pkey ON public.market_product_links USING btree (id)
public,market_product_links,market_product_links_product_id_market_product_id_key,"CREATE UNIQUE INDEX market_product_links_product_id_market_product_id_key ON public.market_product_links USING btree (product_id, market_product_id)"
public,market_product_metrics,market_product_metrics_opportunity_idx,"CREATE INDEX market_product_metrics_opportunity_idx ON public.market_product_metrics USING btree (opportunity_score DESC, confidence DESC)"
public,market_product_metrics,market_product_metrics_pkey,CREATE UNIQUE INDEX market_product_metrics_pkey ON public.market_product_metrics USING btree (market_product_id)
public,market_products,market_products_pkey,CREATE UNIQUE INDEX market_products_pkey ON public.market_products USING btree (id)
public,market_products,market_products_source_external_product_id_key,"CREATE UNIQUE INDEX market_products_source_external_product_id_key ON public.market_products USING btree (source, external_product_id)"
public,market_signals,market_signals_pkey,CREATE UNIQUE INDEX market_signals_pkey ON public.market_signals USING btree (id)
public,market_signals,market_signals_unresolved_idx,CREATE INDEX market_signals_unresolved_idx ON public.market_signals USING btree (detected_at DESC) WHERE (resolved_at IS NULL)
public,market_snapshots,market_snapshots_keyword_time_idx,"CREATE INDEX market_snapshots_keyword_time_idx ON public.market_snapshots USING btree (market_keyword_id, observed_at DESC)"
public,market_snapshots,market_snapshots_pkey,CREATE UNIQUE INDEX market_snapshots_pkey ON public.market_snapshots USING btree (id)
public,market_snapshots,market_snapshots_product_time_idx,"CREATE INDEX market_snapshots_product_time_idx ON public.market_snapshots USING btree (market_product_id, observed_at DESC)"
public,marketplace_connections,marketplace_connections_marketplace_code_key,CREATE UNIQUE INDEX marketplace_connections_marketplace_code_key ON public.marketplace_connections USING btree (marketplace_code)
